Price,Close,High,Low,Open,Volume
Ticker,DVY,DVY,DVY,DVY,DVY
Date,,,,,
2024-01-02,109.88876342773438,110.24147420144257,108.35724363495227,108.37581145972916,927600
2024-01-03,108.88630676269531,109.65670856877053,108.77492814695903,109.27615316242182,549800
2024-01-04,108.9141616821289,109.61959033499686,108.80278305589484,109.02554738991348,586100
2024-01-05,109.57318115234375,110.12081159655953,108.4500614452143,108.64498819749645,566200
2024-01-08,110.32501983642578,110.34358058042405,109.01626431570519,109.48036081271808,754900
2024-01-09,109.35970306396484,109.63816380699232,109.09981014729966,109.63816380699232,356400
2024-01-10,109.18334197998047,109.41539023410216,108.78421869962912,109.21119371897768,406800
2024-01-11,108.09735870361328,109.0162678143551,107.45690325108525,109.0162678143551,1190000
2024-01-12,108.05094909667969,108.98841891553494,107.77248836775108,108.5243224216876,402200
2024-01-16,106.89070129394531,107.54971742492788,106.62152449426792,107.51258885791546,1392600
2024-01-17,105.91609954833984,106.97423895937493,105.46128697941607,105.90681563587805,618300
2024-01-18,105.70262908935547,106.00893451601577,104.92295027409448,105.906832707129,729300
2024-01-19,106.63082122802734,106.79789626999353,105.22925473983756,105.85114241988612,604200
2024-01-22,107.02066040039062,107.41978369106066,106.5379960536706,106.6215371097206,823700
2024-01-23,107.25270080566406,107.59612767329895,106.81644897553828,107.09490261835978,443400
2024-01-24,106.60297393798828,107.9488581543873,106.48231138681508,107.68895814320075,743600
2024-01-25,108.11592864990234,108.14377330811467,107.15060703641963,107.41978386839037,551600
2024-01-26,108.31085968017578,108.76567233555281,108.01383815889156,108.23660252946681,497300
2024-01-29,108.6542739868164,108.76565969993986,107.8560274133087,108.20874529742424,757400
2024-01-30,108.72852325439453,109.05338937553813,108.0602231871561,108.45006253252842,386200
2024-01-31,106.85357666015625,108.54288757287802,106.81644809177716,108.07879109046489,461300
2024-02-01,107.59613800048828,107.6332665727382,105.90682691164793,107.1134807243415,531400
2024-02-02,106.91854858398438,107.58684864357882,106.09245742186077,106.77003431227439,451600
2024-02-05,105.40559387207031,106.11102252860124,105.16426879294306,105.9810760762864,473700
2024-02-06,105.60980224609375,105.9068237336291,105.21067895832275,105.43344330358653,458600
2024-02-07,105.73046875,106.21312599740843,104.97862759941964,105.9532330886846,472500
2024-02-08,105.84185028076172,105.88826276497102,105.0807322779646,105.59124127806363,399200
2024-02-09,105.96250915527344,105.99035381035334,105.31276985002512,105.62835913121434,427600
2024-02-12,107.30839538574219,107.67039009626592,105.97179517362333,105.97179517362333,463700
2024-02-13,105.17354583740234,106.3152263353983,104.34745463963274,106.09246199977123,668400
2024-02-14,105.71190643310547,105.94395469678014,105.06217412743682,105.61908854394581,492500
2024-02-15,107.5311508178711,107.63325260792345,106.15742923061221,106.16670606130778,451300
2024-02-16,107.20628356933594,107.67966394715144,106.63080140254945,107.03920855843342,555000
2024-02-20,107.07634735107422,107.74464745850581,106.63081158560291,106.8071705254948,575900
2024-02-21,107.73535919189453,107.76320384832053,106.84429477851052,107.10418768055372,398500
2024-02-22,107.74463653564453,107.948840112386,107.17843828433413,107.41977042789678,516000
2024-02-23,108.10664367675781,108.50576696417367,107.65183107346328,107.78177753154743,332100
2024-02-26,106.9278335571289,107.96741229360975,106.7607585295079,107.91172297825301,544300
2024-02-27,107.9209976196289,107.96741010251816,107.18773137714342,107.20629212136873,359700
2024-02-28,107.85601806640625,108.24586448777849,107.4568948142408,107.64253765335859,319300
2024-02-29,108.09735870361328,108.663557014664,107.8189050453995,108.13448727435194,468000
2024-03-01,108.12519836425781,108.2273001586828,107.30839109040848,107.96740725707393,453300
2024-03-04,109.18334197998047,109.4803634619942,108.1252025077096,108.1252025077096,479300
2024-03-05,109.6567153930664,110.41783333468051,108.95128676278618,108.95128676278618,1109600
2024-03-06,110.21363830566406,110.51994370487584,109.59175067566498,110.12082041905315,606500
2024-03-07,110.81696319580078,111.30890435937745,110.62204351296195,110.75198996818784,382500
2024-03-08,111.01188659667969,111.47598311847312,110.82625082058269,111.00260268340955,398800
2024-03-11,111.62448120117188,111.66160976731187,110.61274724811909,110.80766690919167,437600
2024-03-12,111.19752502441406,111.78228406921968,110.71486069530886,111.45741793321656,420200
2024-03-13,111.59664916992188,112.19996896367762,111.29962768875495,111.40172240525075,422200
2024-03-14,110.45496368408203,111.54094776190804,109.76810286753613,111.31818343142973,1858400
2024-03-15,110.64988708496094,111.09542284247293,109.9537423324145,109.9537423324145,1202200
2024-03-18,110.79839324951172,111.17894867062466,110.03727532573572,110.65916289288987,1259000
2024-03-19,111.45741271972656,111.54094668726972,110.64988229239097,110.64988229239097,401500
2024-03-20,112.65478515625,112.80329235146674,111.22536710934263,111.3181849915469,409900
2024-03-21,113.29867553710938,113.74790522231254,112.81201659004759,112.81201659004759,1049900
2024-03-22,112.447021484375,113.86021532955017,112.447021484375,113.4484220432111,595200
2024-03-25,112.70907592773438,113.35484141276059,112.5219010446685,112.5219010446685,428000
2024-03-26,111.96035766601562,113.16765489252963,111.90420663137994,112.90560721054466,403200
2024-03-27,114.5902099609375,114.59956370655944,112.49381421888286,112.56868702544135,742200
2024-03-28,115.28276062011719,115.51673277536662,114.55276863818108,114.60891967055662,534200
2024-04-01,114.4685287475586,115.30146900389762,114.2626321196522,115.22660334487423,377600
2024-04-02,113.89764404296875,114.39367101742545,113.6917545410548,114.30943732732388,364800
2024-04-03,113.7385482788086,114.19713172523876,113.53265163013191,113.96315955906323,299100
2024-04-04,113.12086486816406,114.89904760937875,112.81201989680048,114.52469785771072,348300
2024-04-05,113.233154296875,113.52328460437226,112.34406302552057,112.98046752868115,402300
2024-04-08,114.02867126464844,114.40302815787513,113.4390639774945,113.4390639774945,264200
2024-04-09,114.40302276611328,114.73994324011201,113.6823916713326,114.150335980746,501300
2024-04-10,111.73573303222656,112.98046651314478,111.18356221693587,112.98046651314478,629500
2024-04-11,111.40818786621094,112.11010436702608,110.63139855831218,111.94164412121988,405800
